date,amount,type,contra_account_name,message_for_recipient,ks,vs,ss,note,entity_name
2021-10-06,-417.2,Karetní transakce,,"Nákup: Lidl dekuje za nakup,  Lidl dekuje za nakup, Jihlava, 58600, CZE, dne 5.10.2021, částka  417.20 CZK",,3429,,"Nákup: Lidl dekuje za nakup,  Lidl dekuje za nakup, Jihlava, 58600, CZE, dne 5.10.2021, částka  417.20 CZK",cssd
2021-10-06,-20000,Karetní transakce,,"Nákup: FACEBK MECWL8XKW2,  4 Grand Canal Square, fb.me/ads, 2, IRL, dne 5.10.2021, částka  20000.00 CZK",,5794,,"Nákup: FACEBK MECWL8XKW2,  4 Grand Canal Square, fb.me/ads, 2, IRL, dne 5.10.2021, částka  20000.00 CZK",cssd
2021-10-06,-500,Karetní transakce,,"Nákup: FACEBK ES6MJ8TPH2,  4 Grand Canal Square, fb.me/ads, 2, IRL, dne 5.10.2021, částka  500.00 CZK",,8665,,"Nákup: FACEBK ES6MJ8TPH2,  4 Grand Canal Square, fb.me/ads, 2, IRL, dne 5.10.2021, částka  500.00 CZK",cssd
2021-10-06,-1115.7,Karetní transakce,,"Nákup: ALBERT VAM DEKUJE,  ROMANA HAVELKY 4857/3, JIHLAVA, 58601, CZE, dne 5.10.2021, částka  1115.70 CZK",,3429,,"Nákup: ALBERT VAM DEKUJE,  ROMANA HAVELKY 4857/3, JIHLAVA, 58601, CZE, dne 5.10.2021, částka  1115.70 CZK",cssd
2021-10-05,-20000,Karetní transakce,,"Nákup: FACEBK 2RP947BQX2,  4 Grand Canal Square, fb.me/ads, 2, IRL, dne 5.10.2021, částka  20000.00 CZK",,9268,,"Nákup: FACEBK 2RP947BQX2,  4 Grand Canal Square, fb.me/ads, 2, IRL, dne 5.10.2021, částka  20000.00 CZK",cssd
2021-10-05,-15000,Karetní transakce,,"Nákup: FACEBK CDGRS5FP92,  4 Grand Canal Square, fb.me/ads, 2, IRL, dne 5.10.2021, částka  15000.00 CZK",,1861,,"Nákup: FACEBK CDGRS5FP92,  4 Grand Canal Square, fb.me/ads, 2, IRL, dne 5.10.2021, částka  15000.00 CZK",cssd
2021-10-05,1740,Platba převodem uvnitř banky,Česká strana sociálně demokratická,převod z KP Pardubický kraj na volby PS PČR,,,,převod z KP Pardubický kraj na volby PS PČR,cssd
2021-10-05,-8000,Bezhotovostní platba,,ČSSD,308,4,,"Bohdan Vrtal, ozvučení na akci, Jihomoravský kraj",cssd
2021-10-05,-25079.76,Bezhotovostní platba,,ČSSD,308,5190573228,,"Česká pošta, s.p., kompletace a roznáška, Zlínský kraj",cssd
2021-10-05,-20933,Bezhotovostní platba,,ČSSD,308,2021031,,"Tiskárna Sydokon s.r.o., letáky, plakáty, Olomoucký kraj",cssd
