date,amount,type,contra_account_name,message_for_recipient,ks,vs,ss,note,entity_name
2021-10-13,-2832.5,Karetní transakce,,"Nákup: OMV 2806,  D11,35km,HK-Pha, Podebrady, 29001, CZE, dne 12.10.2021, částka  2832.50 CZK",,8267,,"Nákup: OMV 2806,  D11,35km,HK-Pha, Podebrady, 29001, CZE, dne 12.10.2021, částka  2832.50 CZK",pirati_stan
2021-10-13,-27500,Okamžitá odchozí platba,,"pp#20306 FO 5233/2021, pak:p, proplaceni-vedouci-krajskeho-medialniho-odboru-v-pardubickem-kraji-202109, martinsaifrt",,20210010,,"pp#20306 FO 5233/2021, pak:p, proplaceni-vedouci-krajskeho-medialniho-odboru-v-pardubickem-kraji-202109, martinsaifrt",pirati_stan
2021-10-13,-24951.71,Karetní transakce,,"Nákup: GOOGLE *SERVICES,  GORDON HOUSE., INTERNET, 0000000, IRL, dne 12.10.2021, částka  24951.71 CZK",,8267,,"Nákup: GOOGLE *SERVICES,  GORDON HOUSE., INTERNET, 0000000, IRL, dne 12.10.2021, částka  24951.71 CZK",pirati_stan
2021-10-13,-2273.73,Karetní transakce,,"Nákup: FACEBK 7EHT86FD52,  4 Grand Canal Square, fb.me/ads, 2, IRL, dne 12.10.2021, částka  2273.73 CZK",,6835,,"Nákup: FACEBK 7EHT86FD52,  4 Grand Canal Square, fb.me/ads, 2, IRL, dne 12.10.2021, částka  2273.73 CZK",pirati_stan
2021-10-13,-9647.3,Karetní transakce,,"Nákup: FACEBK 6S3W76XQ42,  4 Grand Canal Square, fb.me/ads, 2, IRL, dne 12.10.2021, částka  9647.30 CZK",,6835,,"Nákup: FACEBK 6S3W76XQ42,  4 Grand Canal Square, fb.me/ads, 2, IRL, dne 12.10.2021, částka  9647.30 CZK",pirati_stan
2021-10-13,-859.94,Karetní transakce,,"Nákup: FACEBK 56K8Y5X7B2,  4 Grand Canal Square, fb.me/ads, 2, IRL, dne 12.10.2021, částka  859.94 CZK",,2020,,"Nákup: FACEBK 56K8Y5X7B2,  4 Grand Canal Square, fb.me/ads, 2, IRL, dne 12.10.2021, částka  859.94 CZK",pirati_stan
2021-10-13,-5989.86,Karetní transakce,,"Nákup: FACEBK 42CNB63972,  4 Grand Canal Square, fb.me/ads, 2, IRL, dne 12.10.2021, částka  5989.86 CZK",,6835,,"Nákup: FACEBK 42CNB63972,  4 Grand Canal Square, fb.me/ads, 2, IRL, dne 12.10.2021, částka  5989.86 CZK",pirati_stan
2021-10-13,-2600.24,Karetní transakce,,"Nákup: FACEBK 4S2QX73ZQ2,  4 Grand Canal Square, fb.me/ads, 2, IRL, dne 12.10.2021, částka  2600.24 CZK",,9967,,"Nákup: FACEBK 4S2QX73ZQ2,  4 Grand Canal Square, fb.me/ads, 2, IRL, dne 12.10.2021, částka  2600.24 CZK",pirati_stan
2021-10-13,-5033.56,Karetní transakce,,"Nákup: FACEBK 3ZT7D87LX2,  4 Grand Canal Square, fb.me/ads, 2, IRL, dne 12.10.2021, částka  5033.56 CZK",,6835,,"Nákup: FACEBK 3ZT7D87LX2,  4 Grand Canal Square, fb.me/ads, 2, IRL, dne 12.10.2021, částka  5033.56 CZK",pirati_stan
2021-10-13,-6950,Karetní transakce,,"Nákup: FACEBK 3M42D8F4F2,  4 Grand Canal Square, fb.me/ads, 2, IRL, dne 12.10.2021, částka  6950.00 CZK",,8267,,"Nákup: FACEBK 3M42D8F4F2,  4 Grand Canal Square, fb.me/ads, 2, IRL, dne 12.10.2021, částka  6950.00 CZK",pirati_stan
2021-10-13,-5727.81,Karetní transakce,,"Nákup: FACEBK 3ATX48XJG2,  4 Grand Canal Square, fb.me/ads, 2, IRL, dne 12.10.2021, částka  5727.81 CZK",,2020,,"Nákup: FACEBK 3ATX48XJG2,  4 Grand Canal Square, fb.me/ads, 2, IRL, dne 12.10.2021, částka  5727.81 CZK",pirati_stan
2021-10-13,-5929.48,Karetní transakce,,"Nákup: FACEBK 2UA4H6BK62,  4 Grand Canal Square, fb.me/ads, 2, IRL, dne 12.10.2021, částka  5929.48 CZK",,6835,,"Nákup: FACEBK 2UA4H6BK62,  4 Grand Canal Square, fb.me/ads, 2, IRL, dne 12.10.2021, částka  5929.48 CZK",pirati_stan
2021-10-13,-1919.98,Karetní transakce,,"Nákup: FACEBK ZH2H687SG2,  4 Grand Canal Square, fb.me/ads, 2, IRL, dne 12.10.2021, částka  1919.98 CZK",,6835,,"Nákup: FACEBK ZH2H687SG2,  4 Grand Canal Square, fb.me/ads, 2, IRL, dne 12.10.2021, částka  1919.98 CZK",pirati_stan
2021-10-13,-10048.94,Karetní transakce,,"Nákup: FACEBK WJWVG6F342,  4 Grand Canal Square, fb.me/ads, 2, IRL, dne 12.10.2021, částka  10048.94 CZK",,6835,,"Nákup: FACEBK WJWVG6F342,  4 Grand Canal Square, fb.me/ads, 2, IRL, dne 12.10.2021, částka  10048.94 CZK",pirati_stan
2021-10-13,-5522.84,Karetní transakce,,"Nákup: FACEBK T8XQC87RW2,  4 Grand Canal Square, fb.me/ads, 2, IRL, dne 12.10.2021, částka  5522.84 CZK",,9967,,"Nákup: FACEBK T8XQC87RW2,  4 Grand Canal Square, fb.me/ads, 2, IRL, dne 12.10.2021, částka  5522.84 CZK",pirati_stan
2021-10-13,-19668.93,Karetní transakce,,"Nákup: FACEBK T7A45ATWE2,  4 Grand Canal Square, fb.me/ads, 2, IRL, dne 12.10.2021, částka  19668.93 CZK",,6835,,"Nákup: FACEBK T7A45ATWE2,  4 Grand Canal Square, fb.me/ads, 2, IRL, dne 12.10.2021, částka  19668.93 CZK",pirati_stan
